Zip,Number_of_returns_Total_Individual,Amount_Total_Individual,Number_of_returns_Business,Amount_Business,,,,,,,,
44430,1780,60237000,190,912000,,,,,,,,
44431,2390,112178000,350,3722000,,,,,,,,
44432,4780,206749000,670,6375000,,,,,,,,
44436,1910,92664000,260,2960000,,,,,,,,
44437,2190,97660000,250,1400000,,,,,,,,
44438,2220,77517000,210,1130000,,,,,,,,
44440,2290,109477000,260,1952000,,,,,,,,
44441,770,40562000,110,799000,,,,,,,,
44442,2010,98846000,290,2744000,,,,,,,,
44443,900,40728000,140,1091000,,,,,,,,
44444,5080,211582000,530,3740000,,,,,,,,
44445,1530,70967000,220,2040000,,,,,,,,
44446,9980,377642000,1000,8331000,,,,,,,,
44449,580,29131000,90,727000,,,,,,,,
44450,870,37449000,170,1941000,,,,,,,,
44451,1620,82326000,220,1325000,,,,,,,,
44452,1430,81383000,250,2664000,,,,,,,,
44454,490,20512000,70,510000,,,,,,,,
44455,770,31198000,100,658000,,,,,,,,
44460,12210,596034000,1620,22387000,,,,,,,,
44470,1870,82745000,250,1899000,,,,,,,,
44471,5140,186378000,500,4879000,,,,,,,,
44473,1980,107088000,250,1733000,,,,,,,,
44481,5170,242045000,620,5141000,,,,,,,,
44483,11640,436699000,1210,11218000,,,,,,,,
44484,11540,652152000,1410,23479000,,,,,,,,
44485,6610,187714000,670,4500000,,,,,,,,
44490,370,12349000,40,117000,,,,,,,,
44491,1510,64503000,460,7901000,,,,,,,,
44502,3650,84118000,520,3640000,,,,,,,,
44503,170,6397000,0,0,,,,,,,,
44504,1870,63702000,230,1213000,,,,,,,,
44505,6910,253125000,990,10725000,,,,,,,,
44506,920,19700000,110,946000,,,,,,,,
44507,1820,33872000,320,2986000,,,,,,,,
44509,4820,133114000,590,4239000,,,,,,,,
44510,860,16551000,120,931000,,,,,,,,
44511,9500,375064000,1210,8948000,,,,,,,,
44512,17560,862108000,2350,31645000,,,,,,,,
44514,12030,804555000,1720,33845000,,,,,,,,
44515,14060,592583000,1440,11850000,,,,,,,,
44601,15110,645500000,1840,16416000,,,,,,,,
44606,2950,130550000,860,17354000,,,,,,,,
44608,1220,51035000,190,1960000,,,,,,,,
44609,1750,83447000,250,2617000,,,,,,,,
44611,850,36379000,180,1943000,,,,,,,,
44612,2650,147695000,340,2781000,,,,,,,,
44613,960,39146000,90,252000,,,,,,,,
44614,6320,356882000,760,9549000,,,,,,,,
44615,4970,245911000,800,9216000,,,,,,,,
44618,2970,153570000,590,9286000,,,,,,,,
44620,750,40346000,110,1157000,,,,,,,,
44621,2040,84086000,230,1764000,,,,,,,,
44622,9060,515048000,1130,16871000,,,,,,,,
44624,2190,103856000,640,17853000,,,,,,,,
44625,610,29327000,110,868000,,,,,,,,
44626,1480,69514000,180,1080000,,,,,,,,
44627,2390,97432000,870,20061000,,,,,,,,
44628,500,23009000,110,1062000,,,,,,,,
44629,1060,47480000,130,866000,,,,,,,,
44632,4970,299622000,880,12024000,,,,,,,,
44633,990,41444000,310,4492000,,,,,,,,
44634,1010,48792000,170,1370000,,,,,,,,
44637,1220,45043000,210,1762000,,,,,,,,
44638,700,32350000,120,1305000,,,,,,,,
44641,10120,506095000,1300,13259000,,,,,,,,
44643,1500,72196000,180,2461000,,,,,,,,
44644,2250,115929000,300,2989000,,,,,,,,
44645,1250,66837000,180,1484000,,,,,,,,
44646,23080,1234834000,2600,33248000,,,,,,,,
44647,8780,372704000,940,7555000,,,,,,,,
44651,360,15181000,90,1450000,,,,,,,,
44654,8450,425019000,2240,56673000,,,,,,,,
44656,1270,57340000,140,1685000,,,,,,,,
44657,4730,209719000,710,9050000,,,,,,,,
44662,4620,203168000,650,5902000,,,,,,,,
44663,12180,567405000,1400,18347000,,,,,,,,
44666,1470,89808000,240,3015000,,,,,,,,
44667,6380,315231000,910,10732000,,,,,,,,
44669,710,40606000,120,1959000,,,,,,,,
44672,2150,76633000,200,1293000,,,,,,,,
44675,870,41518000,150,1104000,,,,,,,,
44676,2240,96609000,400,4003000,,,,,,,,
44677,1320,63976000,190,1894000,,,,,,,,
44680,2080,105515000,270,3196000,,,,,,,,
44681,3610,165713000,970,16611000,,,,,,,,
44683,3580,125922000,370,2455000,,,,,,,,
44685,13610,948428000,2020,26363000,,,,,,,,
44688,1410,55274000,180,1543000,,,,,,,,
44689,280,10226000,60,603000,,,,,,,,
44691,20500,1099959000,2940,38129000,,,,,,,,
44695,560,27510000,50,425000,,,,,,,,
44699,420,20987000,60,336000,,,,,,,,
44702,240,19487000,20,174000,,,,,,,,
44703,3490,90770000,400,2944000,,,,,,,,
44704,1610,37385000,180,884000,,,,,,,,
44705,7800,241570000,820,7454000,,,,,,,,
44706,8320,317596000,820,7163000,,,,,,,,
44707,3870,114408000,470,3537000,,,,,,,,
44708,12860,653159000,1550,21176000,,,,,,,,
44709,9210,426247000,1120,14101000,,,,,,,,
44710,4180,131228000,380,3177000,,,,,,,,
44714,4430,178022000,530,5630000,,,,,,,,
44718,6740,659831000,1140,33827000,,,,,,,,
44720,20570,1324563000,2960,48560000,,,,,,,,
44721,6920,416713000,1000,11837000,,,,,,,,
44730,2970,129681000,380,3086000,,,,,,,,
44802,500,29846000,70,599000,,,,,,,,
44804,560,27730000,80,508000,,,,,,,,
44805,14610,694276000,1900,21471000,,,,,,,,
44807,1160,52587000,170,627000,,,,,,,,
44811,6270,291282000,640,5511000,,,,,,,,
44813,3600,169325000,580,5662000,,,,,,,,
44814,1450,72897000,200,1514000,,,,,,,,
44817,680,30472000,70,652000,,,,,,,,
44818,1240,54516000,150,1108000,,,,,,,,
44820,8310,330136000,900,8033000,,,,,,,,
44822,1520,67738000,270,2655000,,,,,,,,
44824,2160,103106000,290,2019000,,,,,,,,
44826,820,39193000,90,447000,,,,,,,,
44827,3260,130986000,330,2817000,,,,,,,,
44830,8680,328244000,820,9992000,,,,,,,,
44833,7670,308159000,890,8038000,,,,,,,,
44836,1220,53199000,110,554000,,,,,,,,
44837,1770,74922000,260,2942000,,,,,,,,
44839,6760,416020000,850,8397000,,,,,,,,
44840,1400,67104000,220,2370000,,,,,,,,
44841,380,18753000,30,35000,,,,,,,,
44842,2740,113884000,420,3672000,,,,,,,,
44843,1280,64885000,160,1777000,,,,,,,,
44844,390,16221000,60,449000,,,,,,,,
44846,1720,106376000,240,2717000,,,,,,,,
44847,1880,89196000,190,1703000,,,,,,,,
44849,1120,49052000,140,812000,,,,,,,,
44851,2480,106548000,320,1703000,,,,,,,,
44853,740,34224000,90,565000,,,,,,,,
44854,910,44635000,100,718000,,,,,,,,
44855,600,27310000,60,527000,,,,,,,,
44857,11530,535775000,1200,12264000,,,,,,,,
44859,830,37813000,100,585000,,,,,,,,
44864,1520,67378000,230,2422000,,,,,,,,
44865,1470,55922000,150,1013000,,,,,,,,
44866,870,38299000,140,1113000,,,,,,,,
44867,1090,53057000,160,1205000,,,,,,,,
44870,19940,849911000,2000,21163000,,,,,,,,
44875,6560,280448000,680,6769000,,,,,,,,
44878,1270,54687000,230,2504000,,,,,,,,
44880,1280,54873000,180,1398000,,,,,,,,
44882,1360,62803000,180,1688000,,,,,,,,
44883,13390,594771000,1470,19927000,,,,,,,,
44887,520,23411000,50,348000,,,,,,,,
44889,3250,167342000,400,3326000,,,,,,,,
44890,5070,210095000,490,5239000,,,,,,,,
44902,1800,37796000,160,1234000,,,,,,,,
44903,11790,562922000,1440,15706000,,,,,,,,
44904,6990,370897000,890,10117000,,,,,,,,
44905,5640,190124000,520,3899000,,,,,,,,
44906,7890,357094000,840,10304000,,,,,,,,
44907,6890,282527000,720,9501000,,,,,,,,
45002,6270,403774000,790,12346000,,,,,,,,
45003,450,17032000,50,262000,,,,,,,,
45005,14220,649165000,1610,17845000,,,,,,,,
45011,30820,1797099000,4010,62837000,,,,,,,,
45013,24730,1213009000,2990,41274000,,,,,,,,
45014,23140,1135529000,2570,28226000,,,,,,,,
45015,5380,179806000,540,5866000,,,,,,,,
45030,9180,481033000,1060,11946000,,,,,,,,
45033,150,4210000,0,0,,,,,,,,
45034,630,48679000,100,1197000,,,,,,,,
45036,16420,1066336000,2400,34221000,,,,,,,,
45039,12050,981026000,1830,31072000,,,,,,,,
45040,24770,2432071000,3480,64566000,,,,,,,,
45042,12580,618274000,1550,20040000,,,,,,,,
45044,22790,1215683000,2810,35258000,,,,,,,,
45050,5050,285040000,600,5060000,,,,,,,,
45052,2180,180989000,270,6371000,,,,,,,,
45053,1600,103312000,250,3755000,,,,,,,,
45054,1120,81531000,180,1620000,,,,,,,,
45056,7260,419511000,1100,15675000,,,,,,,,
45064,1350,67837000,170,1552000,,,,,,,,
45065,2370,165923000,290,4489000,,,,,,,,
45066,11570,1063023000,1860,33428000,,,,,,,,
45067,6470,298540000,700,5829000,,,,,,,,
45068,5390,398766000,990,16074000,,,,,,,,
45069,25100,2011551000,3530,58932000,,,,,,,,
45101,920,35874000,110,591000,,,,,,,,
45102,10750,521016000,1340,15420000,,,,,,,,
45103,15220,817534000,1940,23388000,,,,,,,,
45106,5340,240762000,760,7712000,,,,,,,,
45107,4390,199240000,600,7032000,,,,,,,,
45111,210,10890000,40,671000,,,,,,,,
45113,1960,111087000,340,3560000,,,,,,,,
45118,1720,83850000,260,2700000,,,,,,,,
45120,1400,62450000,190,1208000,,,,,,,,
45121,3750,160385000,620,6112000,,,,,,,,
45122,4940,234900000,690,8293000,,,,,,,,
45123,3580,139124000,590,5903000,,,,,,,,
45130,1570,64253000,230,1556000,,,,,,,,
45133,9710,383577000,1620,18109000,,,,,,,,
45135,2040,91892000,340,4115000,,,,,,,,
45140,25910,2216952000,3870,78133000,,,,,,,,
45142,1960,81368000,300,2454000,,,,,,,,
45144,1530,55460000,240,1720000,,,,,,,,
45146,660,27683000,110,834000,,,,,,,,
45148,690,31494000,100,722000,,,,,,,,
45150,15980,970803000,2210,31379000,,,,,,,,
45152,5410,358515000,850,9851000,,,,,,,,
45153,770,36783000,110,774000,,,,,,,,
45154,4150,168793000,570,5747000,,,,,,,,
45157,4430,241062000,690,9804000,,,,,,,,
45159,1570,67560000,240,1677000,,,,,,,,
45160,330,12704000,40,302000,,,,,,,,
45162,1230,62875000,200,2662000,,,,,,,,
45167,1500,60137000,210,1669000,,,,,,,,
45168,660,25892000,120,1208000,,,,,,,,
45169,2140,88511000,310,2705000,,,,,,,,
45171,2690,118146000,440,4263000,,,,,,,,
45174,1080,206204000,240,6996000,,,,,,,,
45176,4050,184252000,590,7076000,,,,,,,,
45177,10010,543192000,1370,17314000,,,,,,,,
45202,7770,849550000,1180,22975000,,,,,,,,
45203,990,32422000,120,1137000,,,,,,,,
45204,2440,72602000,370,3376000,,,,,,,,
45205,7220,194250000,940,8932000,,,,,,,,
45206,4980,337354000,790,13925000,,,,,,,,
45207,2450,62260000,290,1841000,,,,,,,,
45208,10070,1473155000,1710,46134000,,,,,,,,
45209,5780,374731000,630,9987000,,,,,,,,
45211,17770,688535000,2170,22219000,,,,,,,,
45212,10710,430402000,1260,12359000,,,,,,,,
45213,6220,326112000,870,12035000,,,,,,,,
45214,3220,78593000,460,4237000,,,,,,,,
45215,14870,932141000,1880,27740000,,,,,,,,
45216,4250,140335000,480,3241000,,,,,,,,
45217,3090,122152000,330,2683000,,,,,,,,
45218,2060,97897000,220,1863000,,,,,,,,
45219,4300,124265000,490,5330000,,,,,,,,
45220,5420,335949000,860,13077000,,,,,,,,
45223,5890,200651000,950,9047000,,,,,,,,
45224,9970,464019000,1280,12553000,,,,,,,,
45225,3120,56611000,510,4650000,,,,,,,,
45226,3150,354651000,510,11847000,,,,,,,,
45227,9190,618785000,1200,16795000,,,,,,,,
45229,5100,202842000,800,10325000,,,,,,,,
45230,14100,1043848000,2080,32304000,,,,,,,,
45231,20680,922980000,2320,21465000,,,,,,,,
45232,2580,60968000,430,3851000,,,,,,,,
45233,7850,616269000,1060,19105000,,,,,,,,
45236,12980,774108000,1610,24641000,,,,,,,,
45237,9580,443241000,1240,13566000,,,,,,,,
45238,23080,1030396000,2360,26657000,,,,,,,,
45239,14270,565172000,1540,12617000,,,,,,,,
45240,13880,578413000,1610,9977000,,,,,,,,
45241,12730,1051997000,1890,38922000,,,,,,,,
45242,11650,1310946000,1900,42685000,,,,,,,,
45243,7730,1812277000,1520,66578000,,,,,,,,
45244,13980,1366127000,2170,47482000,,,,,,,,
45245,9780,588553000,1200,17044000,,,,,,,,
45246,8130,445311000,880,8817000,,,,,,,,
45247,12320,873507000,1590,30147000,,,,,,,,
45248,13050,834853000,1590,29282000,,,,,,,,
45249,6860,846202000,1110,31037000,,,,,,,,
45251,11290,506600000,1240,13104000,,,,,,,,
45252,2640,203994000,360,6542000,,,,,,,,
45255,11390,909241000,1550,27022000,,,,,,,,
45302,2170,123456000,260,2490000,,,,,,,,
45303,1050,43246000,130,597000,,,,,,,,
45304,3460,166406000,540,5332000,,,,,,,,
45305,5480,443840000,830,13399000,,,,,,,,
45306,1120,64452000,160,1610000,,,,,,,,
45308,2170,93583000,290,2870000,,,,,,,,
45309,5960,309576000,810,10845000,,,,,,,,
45311,2690,116902000,330,3452000,,,,,,,,
45312,750,41166000,120,891000,,,,,,,,
45314,1540,85513000,260,1563000,,,,,,,,
45315,2380,151031000,360,3485000,,,,,,,,
45317,490,23761000,80,358000,,,,,,,,
45318,2590,131727000,390,4136000,,,,,,,,
45320,7250,336636000,920,11557000,,,,,,,,
45321,440,17971000,60,210000,,,,,,,,
45322,10730,515093000,1240,10544000,,,,,,,,
45323,2690,138640000,300,2208000,,,,,,,,
45324,17260,759720000,1630,15345000,,,,,,,,
45325,1220,66153000,190,1294000,,,,,,,,
45326,530,26849000,70,280000,,,,,,,,
45327,4420,233048000,630,6747000,,,,,,,,
45331,10970,472518000,1480,17437000,,,,,,,,
45332,310,11632000,30,48000,,,,,,,,
45333,650,32417000,90,531000,,,,,,,,
45334,1050,49433000,120,613000,,,,,,,,
45335,3260,168679000,450,3998000,,,,,,,,
45337,880,47292000,150,1497000,,,,,,,,
45338,2540,115281000,370,3175000,,,,,,,,
45339,610,32058000,90,927000,,,,,,,,
45340,390,20967000,50,273000,,,,,,,,
45341,1780,70900000,210,1505000,,,,,,,,
45342,17690,934331000,2060,25977000,,,,,,,,
45344,8030,371828000,960,10021000,,,,,,,,
45345,2810,113366000,350,3045000,,,,,,,,
45346,1070,46835000,160,1165000,,,,,,,,
45347,1930,78893000,260,2382000,,,,,,,,
45348,440,21310000,40,313000,,,,,,,,
45356,12040,513728000,1320,11176000,,,,,,,,
45359,940,45297000,120,1077000,,,,,,,,
45362,490,25121000,60,482000,,,,,,,,
45363,850,52051000,120,1005000,,,,,,,,
45365,14310,689545000,1390,12665000,,,,,,,,
45368,2300,117362000,320,2350000,,,,,,,,
45369,1760,87819000,210,1560000,,,,,,,,
45370,1180,106229000,230,5000000,,,,,,,,
45371,9730,625403000,1330,17752000,,,,,,,,
45373,17050,967237000,2030,21894000,,,,,,,,
45377,7870,430846000,940,12984000,,,,,,,,
45380,2660,142879000,320,4407000,,,,,,,,
45381,2590,114084000,380,4118000,,,,,,,,
45382,550,23402000,70,477000,,,,,,,,
45383,3320,146127000,440,3937000,,,,,,,,
45385,17760,983753000,2400,31666000,,,,,,,,
45387,2880,200639000,600,8897000,,,,,,,,
45388,370,20437000,60,368000,,,,,,,,
45390,1440,54273000,200,1349000,,,,,,,,
45402,4280,146953000,600,4528000,,,,,,,,
45403,5820,155772000,800,6855000,,,,,,,,
45404,4190,113476000,690,6472000,,,,,,,,
45405,7710,232734000,960,6536000,,,,,,,,
45406,9390,279736000,1230,6783000,,,,,,,,
45409,3150,213133000,540,8015000,,,,,,,,
45410,6540,205315000,870,8225000,,,,,,,,
45414,9980,503393000,1360,16983000,,,,,,,,
45415,6280,322691000,870,8722000,,,,,,,,
45416,2560,75318000,290,1570000,,,,,,,,
45417,11830,302090000,1540,11289000,,,,,,,,
45419,7950,712455000,1240,22371000,,,,,,,,
45420,12390,465750000,1310,12296000,,,,,,,,
45424,24360,1167440000,2610,20376000,,,,,,,,
45426,7740,259606000,880,5027000,,,,,,,,
45429,13890,990306000,1910,33522000,,,,,,,,
45430,3730,268618000,500,7053000,,,,,,,,
45431,12600,706258000,1330,14850000,,,,,,,,
45432,7520,384946000,810,8745000,,,,,,,,
45433,730,34310000,30,35000,,,,,,,,
45434,6100,537199000,900,18695000,,,,,,,,
45439,5420,191821000,560,4492000,,,,,,,,
45440,10830,708773000,1340,20922000,,,,,,,,
45449,9330,365280000,960,8038000,,,,,,,,
45458,15960,1488205000,2390,56157000,,,,,,,,
45459,14780,1203567000,2150,45059000,,,,,,,,
45502,8170,477813000,1150,12999000,,,,,,,,
45503,15460,674488000,1460,18173000,,,,,,,,
45504,7630,426430000,960,14922000,,,,,,,,
45505,8290,261616000,730,8019000,,,,,,,,
45506,5780,183158000,560,4120000,,,,,,,,
45601,23250,1064876000,2800,26957000,,,,,,,,
45612,1970,73360000,340,2931000,,,,,,,,
45613,1340,52127000,190,1456000,,,,,,,,
45614,1780,80024000,290,2442000,,,,,,,,
45616,470,16326000,90,526000,,,,,,,,
45619,3320,150080000,420,3449000,,,,,,,,
45620,410,17815000,60,315000,,,,,,,,
45622,190,6894000,40,293000,,,,,,,,
45623,1310,53676000,200,1427000,,,,,,,,
45628,2240,104834000,300,2625000,,,,,,,,
45629,1230,53998000,150,877000,,,,,,,,
45631,6250,301944000,970,12131000,,,,,,,,
45634,750,25328000,90,595000,,,,,,,,
45638,8590,348713000,950,7100000,,,,,,,,
45640,6740,307874000,940,10912000,,,,,,,,
45644,1970,94366000,260,1245000,,,,,,,,
45645,1140,52835000,190,1726000,,,,,,,,
45646,160,7097000,20,198000,,,,,,,,
45647,990,39056000,140,1251000,,,,,,,,
45648,4480,208404000,640,5954000,,,,,,,,
45650,140,4093000,0,0,,,,,,,,
45651,2250,88843000,340,2417000,,,,,,,,
45652,1240,57116000,190,1200000,,,,,,,,
45653,1610,79779000,240,2267000,,,,,,,,
45654,360,14095000,60,461000,,,,,,,,
45656,2500,98189000,330,2530000,,,,,,,,
45657,910,34016000,120,843000,,,,,,,,
45658,890,32773000,230,3766000,,,,,,,,
45659,1030,36898000,120,1046000,,,,,,,,
45660,3010,119764000,580,5862000,,,,,,,,
45661,2790,114772000,380,2768000,,,,,,,,
45662,10730,436903000,1480,18288000,,,,,,,,
45663,2540,100205000,330,1681000,,,,,,,,
45669,4700,257477000,580,6857000,,,,,,,,
45671,170,5972000,0,0,,,,,,,,
45672,680,28073000,70,381000,,,,,,,,
45673,190,6587000,0,0,,,,,,,,
45678,420,17284000,60,354000,,,,,,,,
45679,1140,45790000,200,1620000,,,,,,,,
45680,5350,226278000,560,4670000,,,,,,,,
45681,630,24288000,90,674000,,,,,,,,
45682,830,34116000,120,781000,,,,,,,,
45684,690,35538000,130,915000,,,,,,,,
45685,490,22191000,90,691000,,,,,,,,
45686,1240,44298000,200,1309000,,,,,,,,
45688,160,6220000,0,0,,,,,,,,
45690,5740,257127000,710,6353000,,,,,,,,
45692,3390,129517000,420,3134000,,,,,,,,
45693,3400,136346000,640,7765000,,,,,,,,
45694,4920,255820000,670,8253000,,,,,,,,
45695,270,9436000,30,113000,,,,,,,,
45696,520,23281000,50,190000,,,,,,,,
45697,2020,86868000,360,3774000,,,,,,,,
45701,9460,523004000,1560,23515000,,,,,,,,
45710,2450,111931000,410,4144000,,,,,,,,
45711,430,15955000,100,609000,,,,,,,,
45714,4860,218199000,540,8933000,,,,,,,,
45715,1210,60995000,170,1465000,,,,,,,,
45723,1520,67471000,170,2002000,,,,,,,,
45724,710,31058000,90,576000,,,,,,,,
45727,240,10074000,30,314000,,,,,,,,
45729,720,38989000,110,1524000,,,,,,,,
45732,1920,69080000,230,1403000,,,,,,,,
45734,220,9046000,30,157000,,,,,,,,
45735,750,31986000,110,613000,,,,,,,,
45741,300,11495000,40,110000,,,,,,,,
45742,1420,72354000,200,1734000,,,,,,,,
45743,520,22757000,70,347000,,,,,,,,
45744,1380,75656000,210,1749000,,,,,,,,
45745,510,30486000,100,972000,,,,,,,,
45746,160,6603000,20,115000,,,,,,,,
45750,12290,635261000,1630,27205000,,,,,,,,
45760,1280,44313000,140,1180000,,,,,,,,
45761,660,25177000,100,994000,,,,,,,,
45764,2970,100439000,360,2348000,,,,,,,,
45766,600,25033000,100,744000,,,,,,,,
45767,1100,57722000,170,823000,,,,,,,,
45768,810,40814000,90,495000,,,,,,,,
45769,2420,102164000,360,3590000,,,,,,,,
45770,250,9626000,30,119000,,,,,,,,
45771,1430,63027000,170,1144000,,,,,,,,
45772,710,31089000,80,362000,,,,,,,,
45773,330,15648000,40,149000,,,,,,,,
45775,540,20786000,70,245000,,,,,,,,
45776,320,11505000,60,244000,,,,,,,,
45778,370,12604000,50,274000,,,,,,,,
45780,1340,51320000,160,791000,,,,,,,,
45784,1480,79599000,210,2057000,,,,,,,,
45786,1470,73947000,220,2098000,,,,,,,,
45788,510,31848000,70,266000,,,,,,,,
45801,9490,345339000,860,6315000,,,,,,,,
45804,6380,195559000,640,4641000,,,,,,,,
45805,10790,586856000,1220,15066000,,,,,,,,
45806,5460,299228000,670,7840000,,,,,,,,
45807,6040,355187000,790,9681000,,,,,,,,
45808,150,5261000,0,0,,,,,,,,
45810,2730,136502000,330,2128000,,,,,,,,
45812,820,31764000,80,395000,,,,,,,,
45813,1700,75434000,220,1589000,,,,,,,,
45814,1320,65901000,170,2212000,,,,,,,,
45817,2920,172961000,440,4945000,,,,,,,,
45819,100,4033000,0,0,,,,,,,,
45821,630,26876000,80,546000,,,,,,,,
45822,9800,458951000,1200,10265000,,,,,,,,
45827,1080,56878000,100,694000,,,,,,,,
45828,3120,167582000,370,3474000,,,,,,,,
45830,2900,148770000,300,3986000,,,,,,,,
45831,1460,68325000,140,683000,,,,,,,,
45832,1390,69575000,150,1280000,,,,,,,,
45833,5210,276134000,610,7647000,,,,,,,,
45835,230,10761000,20,141000,,,,,,,,
45836,660,27092000,80,466000,,,,,,,,
45840,26860,1564609000,2970,37211000,,,,,,,,
45841,460,24267000,70,351000,,,,,,,,
45843,1720,80851000,230,2323000,,,,,,,,
45844,1600,92541000,230,1913000,,,,,,,,
45845,1630,106587000,210,1786000,,,,,,,,
45846,2160,154393000,280,3194000,,,,,,,,
45849,500,22716000,80,811000,,,,,,,,
45850,1710,87674000,240,2122000,,,,,,,,
45851,300,19901000,50,269000,,,,,,,,
45856,2430,122774000,250,2213000,,,,,,,,
45858,1530,72043000,170,980000,,,,,,,,
45860,1100,64282000,120,1214000,,,,,,,,
45862,670,26254000,80,278000,,,,,,,,
45863,580,25150000,70,258000,,,,,,,,
45865,2600,182840000,310,3970000,,,,,,,,
45867,630,30565000,80,377000,,,,,,,,
45868,340,18136000,60,443000,,,,,,,,
45869,2470,183969000,310,3349000,,,,,,,,
45871,1040,53754000,150,1282000,,,,,,,,
45872,2000,79465000,140,941000,,,,,,,,
45873,1120,46133000,150,893000,,,,,,,,
45874,1050,49172000,150,1053000,,,,,,,,
45875,5590,303252000,630,7393000,,,,,,,,
45877,1050,53368000,160,1879000,,,,,,,,
45879,2830,126638000,380,3663000,,,,,,,,
45880,1100,54908000,140,1024000,,,,,,,,
45881,700,36408000,90,882000,,,,,,,,
45882,1460,69182000,190,1297000,,,,,,,,
45883,1960,125793000,190,1893000,,,,,,,,
45885,6430,292104000,680,6640000,,,,,,,,
45886,220,9743000,0,0,,,,,,,,
45887,2160,100865000,300,1960000,,,,,,,,
45889,690,41977000,110,1230000,,,,,,,,
45890,330,14479000,40,141000,,,,,,,,
45891,7430,350544000,850,7102000,,,,,,,,
45894,320,15389000,40,248000,,,,,,,,
45895,8920,437727000,1050,9587000,,,,,,,,
45896,960,45223000,130,967000,,,,,,,,
45898,570,23321000,90,804000,,,,,,,,
